Entidade;Campo;Tipo;Caminho Completo;Profundidade;Removido pelo filtro padrão
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante;Profissao;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante.Profissao];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante;TipoDoSegundoDocumento;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante.TipoDoSegundoDocumento];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante;NumeroDoSegundoDocumento;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante.NumeroDoSegundoDocumento];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante;Nacionalidade;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante.Nacionalidade];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante;Pessoa;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante.Pessoa];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante;TipoDeParticipacao;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante.TipoDeParticipacao];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante;Qualificacao;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante.Qualificacao];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante;ID;Guid;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante.ID];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante;ValidationResult;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante.ValidationResult];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante;EstadoCivil;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante.EstadoCivil];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante;NomeDoPai;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante.NomeDoPai];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante;NomeDaMae;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante.NomeDaMae];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante;NomeSocial;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante.NomeSocial];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante;TipoDoParticipanteSelo;Int32;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Participante.TipoDoParticipanteSelo];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos;ParticipanteID;Guid;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos.ParticipanteID];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos;Cep;Int32;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos.Cep];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos;Endereco;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos.Endereco];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos;NumeroDoEndereco;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos.NumeroDoEndereco];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos;Complemento;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos.Complemento];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos;Bairro;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos.Bairro];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos;Cidade;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos.Cidade];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos;Estado;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos.Estado];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos;Ordem;Int32;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos.Ordem];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos;Participante;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos.Participante];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos;ID;Guid;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos.ID];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos;ValidationResult;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos.ValidationResult];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos;EnviarIntimacoesParaOLog;Boolean;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos.EnviarIntimacoesParaOLog];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos;IntimacaoGerada;Guid;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos.IntimacaoGerada];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos;AtivoNaReceitaFederal;Nullable`1[[System.Boolean, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]];[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos.AtivoNaReceitaFederal];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos;CobrarIntimacao;Boolean;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos.CobrarIntimacao];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos;EnderecoNegativoCenprot;Boolean;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos.EnderecoNegativoCenprot];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos;Ocorrencia;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Enderecos.Ocorrencia];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;PessoaID;Nullable`1[[System.Guid, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]];[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.PessoaID];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;Data;DateTime;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Data];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;TipoDeParticipacaoID;Guid;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.TipoDeParticipacaoID];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;QualificacaoID;Guid;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.QualificacaoID];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;Nome;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Nome];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;Emails;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Emails];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;Telefones;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Telefones];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;Ativo;Boolean;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Ativo];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;Profissao;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Profissao];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;TipoDoSegundoDocumento;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.TipoDoSegundoDocumento];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;NumeroDoSegundoDocumento;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.NumeroDoSegundoDocumento];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;Nacionalidade;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Nacionalidade];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;Pessoa;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Pessoa];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Pessoa;TipoDeDocumento;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Pessoa.TipoDeDocumento];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Pessoa;NumeroDoDocumento;Int64;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Pessoa.NumeroDoDocumento];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Pessoa;NumeroDoDocumentoReduzido;Int32;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Pessoa.NumeroDoDocumentoReduzido];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Pessoa;Data;DateTime;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Pessoa.Data];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Pessoa;SuspenderPesquisa;Boolean;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Pessoa.SuspenderPesquisa];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Pessoa;ID;Guid;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Pessoa.ID];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Pessoa;ValidationResult;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Pessoa.ValidationResult];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;TipoDeParticipacao;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.TipoDeParticipacao];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.TipoDeParticipacao;Nome;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.TipoDeParticipacao.Nome];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.TipoDeParticipacao;ID;Guid;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.TipoDeParticipacao.ID];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.TipoDeParticipacao;ValidationResult;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.TipoDeParticipacao.ValidationResult];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;Qualificacao;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Qualificacao];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Qualificacao;Nome;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Qualificacao.Nome];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Qualificacao;TipoDeParticipacaoID;Guid;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Qualificacao.TipoDeParticipacaoID];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Qualificacao;UsoInterno;Boolean;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Qualificacao.UsoInterno];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Qualificacao;TipoDeParticipacao;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Qualificacao.TipoDeParticipacao];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Qualificacao;ID;Guid;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Qualificacao.ID];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Qualificacao;ValidationResult;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Qualificacao.ValidationResult];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;ID;Guid;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.ID];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;ValidationResult;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.ValidationResult];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.ValidationResult;IsOK;Boolean;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.ValidationResult.IsOK];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.ValidationResult;MessageSuccess;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.ValidationResult.MessageSuccess];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;ApenasUsoInterno;Boolean;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.ApenasUsoInterno];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;Observacao;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.Observacao];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;FormaDeEnvioDaIntimacao;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao;Descricao;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao.Descricao];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao;FormaDeEnvioPadraoParaDentroDaComarca;Boolean;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao.FormaDeEnvioPadraoParaDentroDaComarca];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao;FormaDeEnvioPadraoParaForaDaComarca;Boolean;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao.FormaDeEnvioPadraoParaForaDaComarca];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao;EntregaForaDaComarca;Boolean;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao.EntregaForaDaComarca];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao;CorDaFormaDeEnvio;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao.CorDaFormaDeEnvio];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao;GeraEnvelopeDeIntimacoes;Boolean;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao.GeraEnvelopeDeIntimacoes];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao;NaoCobrarValorDaIntimacao;Boolean;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao.NaoCobrarValorDaIntimacao];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao;EnvelopeDeIntimacoesPrecisaDeAR;Boolean;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao.EnvelopeDeIntimacoesPrecisaDeAR];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao;EnviarParaOhRiftLog;Boolean;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao.EnviarParaOhRiftLog];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao;QuantidadeDeDiasParaPrazoLimiteDoTitulo;Int32;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao.QuantidadeDeDiasParaPrazoLimiteDoTitulo];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao;ID;Guid;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao.ID];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao;ValidationResult;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao.ValidationResult];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao;RastreioDoCorreios;Boolean;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao.RastreioDoCorreios];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao;AREletronicoDoCorreios;Boolean;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.FormaDeEnvioDaIntimacao.AREletronicoDoCorreios];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;EstadoCivil;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.EstadoCivil];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;NomeDoPai;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.NomeDoPai];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;NomeDaMae;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.NomeDaMae];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;NomeSocial;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.NomeSocial];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria;TipoDoParticipanteSelo;Int32;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.Assessoria.TipoDoParticipanteSelo];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor;ID;Guid;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.ID];5;Não
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor;ValidationResult;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.ValidationResult];5;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.ValidationResult;IsOK;Boolean;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.ValidationResult.IsOK];6;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.ValidationResult.Erros;Length;Int32;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.ValidationResult.Erros.Length];7;Sim
DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.ValidationResult;MessageSuccess;String;[Dados.DadosDoPedido.ItensPedido.Devedores.AssessoriasDoDevedor.ValidationResult.MessageSuccess];6;Sim
DadosDoPedido.ItensPedido.Devedores;PessoaID;Nullable`1[[System.Guid, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]];[Dados.DadosDoPedido.ItensPedido.Devedores.PessoaID];4;Não
DadosDoPedido.ItensPedido.Devedores;Data;DateTime;[Dados.DadosDoPedido.ItensPedido.Devedores.Data];4;Não
DadosDoPedido.ItensPedido.Devedores;TipoDeParticipacaoID;Guid;[Dados.DadosDoPedido.ItensPedido.Devedores.TipoDeParticipacaoID];4;Não
DadosDoPedido.ItensPedido.Devedores;QualificacaoID;Guid;[Dados.DadosDoPedido.ItensPedido.Devedores.QualificacaoID];4;Não
DadosDoPedido.ItensPedido.Devedores;Nome;String;[Dados.DadosDoPedido.ItensPedido.Devedores.Nome];4;Não
DadosDoPedido.ItensPedido.Devedores;Emails;String;[Dados.DadosDoPedido.ItensPedido.Devedores.Emails];4;Não
DadosDoPedido.ItensPedido.Devedores;Telefones;String;[Dados.DadosDoPedido.ItensPedido.Devedores.Telefones];4;Não
DadosDoPedido.ItensPedido.Devedores;Ativo;Boolean;[Dados.DadosDoPedido.ItensPedido.Devedores.Ativo];4;Não
DadosDoPedido.ItensPedido.Devedores;Profissao;String;[Dados.DadosDoPedido.ItensPedido.Devedores.Profissao];4;Não
DadosDoPedido.ItensPedido.Devedores;TipoDoSegundoDocumento;String;[Dados.DadosDoPedido.ItensPedido.Devedores.TipoDoSegundoDocumento];4;Não
DadosDoPedido.ItensPedido.Devedores;NumeroDoSegundoDocumento;String;[Dados.DadosDoPedido.ItensPedido.Devedores.NumeroDoSegundoDocumento];4;Não
DadosDoPedido.ItensPedido.Devedores;Nacionalidade;String;[Dados.DadosDoPedido.ItensPedido.Devedores.Nacionalidade];4;Não
DadosDoPedido.ItensPedido.Devedores;Pessoa;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Devedores.Pessoa];4;Não
DadosDoPedido.ItensPedido.Devedores.Pessoa;TipoDeDocumento;String;[Dados.DadosDoPedido.ItensPedido.Devedores.Pessoa.TipoDeDocumento];5;Não
DadosDoPedido.ItensPedido.Devedores.Pessoa;NumeroDoDocumento;Int64;[Dados.DadosDoPedido.ItensPedido.Devedores.Pessoa.NumeroDoDocumento];5;Não
DadosDoPedido.ItensPedido.Devedores.Pessoa;NumeroDoDocumentoReduzido;Int32;[Dados.DadosDoPedido.ItensPedido.Devedores.Pessoa.NumeroDoDocumentoReduzido];5;Não
DadosDoPedido.ItensPedido.Devedores.Pessoa;Data;DateTime;[Dados.DadosDoPedido.ItensPedido.Devedores.Pessoa.Data];5;Não
DadosDoPedido.ItensPedido.Devedores.Pessoa;SuspenderPesquisa;Boolean;[Dados.DadosDoPedido.ItensPedido.Devedores.Pessoa.SuspenderPesquisa];5;Não
DadosDoPedido.ItensPedido.Devedores.Pessoa;ID;Guid;[Dados.DadosDoPedido.ItensPedido.Devedores.Pessoa.ID];5;Não
DadosDoPedido.ItensPedido.Devedores.Pessoa;ValidationResult;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Devedores.Pessoa.ValidationResult];5;Sim
DadosDoPedido.ItensPedido.Devedores.Pessoa.ValidationResult;IsOK;Boolean;[Dados.DadosDoPedido.ItensPedido.Devedores.Pessoa.ValidationResult.IsOK];6;Sim
DadosDoPedido.ItensPedido.Devedores.Pessoa.ValidationResult.Erros;Length;Int32;[Dados.DadosDoPedido.ItensPedido.Devedores.Pessoa.ValidationResult.Erros.Length];7;Sim
DadosDoPedido.ItensPedido.Devedores.Pessoa.ValidationResult;MessageSuccess;String;[Dados.DadosDoPedido.ItensPedido.Devedores.Pessoa.ValidationResult.MessageSuccess];6;Sim
DadosDoPedido.ItensPedido.Devedores;TipoDeParticipacao;⚠ null (objeto);[Dados.DadosDoPedido.ItensPedido.Devedores.TipoDeParticipacao];4;Não
DadosDoPedido.ItensPedido.Devedores.TipoDeParticipacao;Nome;String;[Dados.DadosDoPedido.ItensPedido.Devedores.TipoDeParticipacao.Nome];5;Não
DadosDoPedido.ItensPedido.Devedores.TipoDeParticipacao;ID;Guid;[Dados.DadosDoPedido.ItensPedido.Devedores.TipoDeParticipacao.ID];5;Não
